ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S2	0.00509562170216638	0.00268063207433741	0.00809781358246789	5.34584088783477e-13	0.00137724752531136
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S3	0.00460370623197626	0.00222906241979438	0.00764196186888853	6.63726468801321e-12	0.00138837865351072
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S4	0.00337022115726848	0.001413694135033	0.0059719235209858	3.74764686705589e-09	0.00115417307183619
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S5	0.00202519547937097	0.000642835169476128	0.00408150950718383	3.99483983486946e-06	0.000900463514152417
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S6	0.00171483081264801	0.0004280366909585	0.00353626801773694	2.03245471331373e-05	0.000847896004855512
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin16.S7	0.00124135868496567	0.00017770289952706	0.00319230277303548	0.000249208936353233	0.000790625184787055
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S1	0.00609806547228264	0.00335058006254256	0.00957661875732401	3.17951070283182e-15	0.00164076081879082
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S10	0.0011127239152795	8.83615474554789e-05	0.00300220926780386	0.000496024561067384	0.000724499497475135
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S2	0.00516228167580912	0.00280866877424274	0.00833749391407023	3.80082036855643e-13	0.0014558387989291
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S3	0.00542301660407862	0.0028807609053447	0.00836572685159603	1.00151336685666e-13	0.00146581057320174
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S4	0.00340736683614051	0.00145405065822743	0.00587874370908265	3.09488525134592e-09	0.00113648558379045
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S5	0.0018577217546385	0.000498500871832505	0.00409297417764558	9.59829509489975e-06	0.000910503677439807
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S6	0.00161158799158478	0.00037874454531156	0.0036744033182949	3.50032219670375e-05	0.000875920955373775
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin17.S7	0.00133584492222394	0.000212532434157317	0.00312482939013702	0.000150660260649021	0.000759852757588286
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin18.S1	0.0058506982807871	0.0032019077654902	0.00920952546360156	1.12513801580122e-14	0.00156222437749536
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin18.S10	0.00088203272850651	3.01665763155268e-05	0.00275182981037444	0.00172444843862644	0.000693612667122459
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin18.S2	0.00572954438445383	0.00298867744014024	0.00866442029210315	2.08974714359587e-14	0.00147084384491323
