ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S4	0.0203241108803748	0.0149041222129739	0.0261273190885702	8.88676352697861e-47	0.00277201082991115
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S5	0.0175500596821456	0.0127805414837494	0.0227365879700435	1.31505089758352e-40	0.00254757306121635
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S6	0.0135435281953635	0.00922739474771064	0.0180925226657456	1.02297077748951e-31	0.00226417169430412
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S7	0.0129130038270162	0.00886258765736928	0.0179129456939333	2.55406682307381e-30	0.00229247927125376
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S1	0.0262744991383064	0.0207657817217635	0.0322070402922109	4.6447216650507e-60	0.00295333599506639
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S10	0.0103610639948745	0.00642563847955885	0.0147240303121248	1.14668905854569e-24	0.00213934337257001
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S2	0.0248588845132737	0.0188596821898954	0.0310442778096641	6.8051624108921e-57	0.00298699831523128
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S3	0.0236890410568776	0.0183193394414088	0.0301423482352845	2.79343044999266e-54	0.00297833581828424
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S4	0.020831858658631	0.0156465219954581	0.0265370779537623	6.57599362865331e-48	0.00276856270032774
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S5	0.0167985422147957	0.0122006310885839	0.0223282921066837	6.14283000448409e-39	0.00259140083939409
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S6	0.0134539100034571	0.00953236656721566	0.0185151198969736	1.6162210883359e-31	0.00237050190303372
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin17.S7	0.0127483859199719	0.00860574823020594	0.017313157465956	5.91551367720392e-30	0.00226750262479571
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S1	0.0258131498079026	0.0203121649937205	0.0322550429748238	5.00210869385551e-59	0.0030848984444013
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S10	0.010786258132648	0.00688551915446632	0.0150100545143457	1.31211451418326e-25	0.00204675163758818
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S2	0.02461677450672	0.0194036150297613	0.0305886163233739	2.36538198813488e-56	0.00296471071529721
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S3	0.0237253840853436	0.0184792312501247	0.0299425690634152	2.31734680905596e-54	0.00290583341256402
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S4	0.0206538566546629	0.0155890231095225	0.0266658894539714	1.63845105828696e-47	0.00285740082026371
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S5	0.0173977642086189	0.0128655734985975	0.0227186349602361	2.86630973049449e-40	0.00252993903654643
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S6	0.0141572368311849	0.0100380878620547	0.0190880485171127	4.46008590651653e-33	0.00238203112494768
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin18.S7	0.0133346226838345	0.00933334004682714	0.0183585778927385	2.97088666477088e-31	0.00231738950354117
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S1	0.0244271641832813	0.0190972039955888	0.0299390689879579	6.27421921893179e-56	0.00284997358007586
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S10	0.0110811266243869	0.00759454259853265	0.015647863806152	2.91757163003625e-26	0.00209569651272547
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S2	0.0243507335465056	0.0189356600326689	0.0303505440975821	9.29638129102341e-56	0.00290966484824234
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S3	0.0243125258143413	0.0189112239049856	0.0300490947503862	1.13153993549976e-55	0.00294053717081886
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S4	0.0213785970609118	0.0158618426516034	0.0273134222602346	3.97953396013201e-49	0.00286568333836638
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S5	0.0169433548558561	0.0122626195379626	0.0215240949137789	2.92919242531962e-39	0.00249267784942546
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S6	0.0149872575245736	0.0106199263716983	0.0204661813078997	6.43522492456738e-35	0.00252439351380639
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin19.S7	0.0137344302019807	0.00970095348867006	0.0190710624085917	3.8610188565882e-32	0.00227416249241461
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S1	0.0126698242440654	0.00850888129882935	0.0172478621360197	8.83202348761441e-30	0.00223880619024592
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S10	0.00221851852476396	0.00079606763130631	0.00432023766333088	1.4568043863159e-06	0.000954603075306687
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S2	0.0129836762775365	0.00885888714537801	0.0176223883330172	1.78085344601639e-30	0.00225228493625685
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S3	0.0119820939504599	0.00809018134930634	0.0165929212975964	2.94861037576803e-28	0.00214545173355072
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S4	0.00925166436733516	0.00604789254760904	0.0131770195779963	3.27885119095742e-22	0.00183153085244962
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S5	0.0062805895309459	0.00350043118341943	0.00960566660240825	1.25172704774619e-15	0.00160249329104224
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S6	0.00361493415248804	0.00162842556864435	0.00670581241486655	1.0630342162559e-09	0.00128543057799621
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin2.S7	0.00235197876392568	0.000847582771707056	0.00476654599567616	7.27263200478691e-07	0.00101380724781578
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S1	0.0246124210865427	0.0191079078437341	0.0311599122510284	2.41896278683856e-56	0.00312507758715481
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S10	0.0117612739921056	0.00788027450961319	0.0164222033838086	9.09341079087584e-28	0.00217587980774514
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S2	0.0247497246553066	0.0190570839142594	0.0307731480246588	1.19344084619504e-56	0.00301505369157505
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S3	0.0245910888780465	0.0191087615560683	0.0307085125451951	2.69958111686597e-56	0.002987351488743
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S4	0.0214028254903477	0.0162058413683207	0.0267426560688448	3.5143015690828e-49	0.00266822523323872
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S5	0.0172695349436333	0.0124585479842656	0.0228683735384415	5.52336493804164e-40	0.00271039432479474
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin20.S6	0.0157053553850007	0.0111598545303422	0.0207072367057494	1.64163887798384e-36	0.00249395624866298
